_id,model_year,make,model,vehicle_class,motor_(kw),transmission,fuel_type,city_(kwh/100_km),highway_(kwh/100_km),combined_(kwh/100_km),city_(le/100_km),highway_(le/100_km),combined_(le/100_km),range_(km),co2_emissions_(g/km),co2_rating,smog_rating,recharge_time_(h),display_name
25501,2015,Tesla,Model S (85/90 kWh) Full-size 285 kW Automatic 1-Gear,Full-size,285,A1,B,23.8,23.2,23.6,2.7,2.6,2.6,426,0,n/a,n/a,12,2015 Tesla Model S (85/90 kWh) Full-size 285 kW Automatic 1-Gear
25502,2015,Tesla,Model S 70D Full-size 280 kW Automatic 1-Gear,Full-size,280,A1,B,20.8,20.6,20.7,2.3,2.3,2.3,386,0,n/a,n/a,12,2015 Tesla Model S 70D Full-size 280 kW Automatic 1-Gear
25503,2015,Tesla,Model S 85D/90D Full-size 280 kW Automatic 1-Gear,Full-size,280,A1,B,22.0,19.8,21.0,2.5,2.2,2.4,435,0,n/a,n/a,12,2015 Tesla Model S 85D/90D Full-size 280 kW Automatic 1-Gear
25504,2015,Tesla,Model S P85D/P90D Full-size 515 kW Automatic 1-Gear,Full-size,515,A1,B,23.4,21.5,22.5,2.6,2.4,2.5,407,0,n/a,n/a,12,2015 Tesla Model S P85D/P90D Full-size 515 kW Automatic 1-Gear
25505,2016,BMW,i3 Subcompact 125 kW Automatic 1-Gear,Subcompact,125,A1,B,15.2,18.8,16.8,1.7,2.1,1.9,130,0,10,n/a,4,2016 BMW i3 Subcompact 125 kW Automatic 1-Gear
25506,2016,Chevrolet,Spark EV Subcompact 104 kW Automatic 1-Gear,Subcompact,104,A1,B,16.0,19.6,17.8,1.8,2.2,2.0,131,0,10,n/a,7,2016 Chevrolet Spark EV Subcompact 104 kW Automatic 1-Gear
25507,2016,Ford,Focus Electric Compact 107 kW Automatic 1-Gear,Compact,107,A1,B,19.0,21.1,20.0,2.1,2.4,2.2,122,0,10,n/a,4,2016 Ford Focus Electric Compact 107 kW Automatic 1-Gear
25508,2016,Kia,Soul EV Station wagon: Small 81 kW Automatic 1-Gear,Station wagon: Small,81,A1,B,17.5,22.7,19.9,2.0,2.6,2.2,149,0,10,n/a,4,2016 Kia Soul EV Station wagon: Small 81 kW Automatic 1-Gear
25509,2016,Mitsubishi,i-MiEV Subcompact 49 kW Automatic 1-Gear,Subcompact,49,A1,B,16.9,21.4,18.7,1.9,2.4,2.1,100,0,10,n/a,7,2016 Mitsubishi i-MiEV Subcompact 49 kW Automatic 1-Gear
25510,2016,Nissan,LEAF (24 kWh) Mid-size 80 kW Automatic 1-Gear,Mid-size,80,A1,B,16.5,20.8,18.4,1.9,2.3,2.1,135,0,10,n/a,5,2016 Nissan LEAF (24 kWh) Mid-size 80 kW Automatic 1-Gear
25511,2016,Nissan,LEAF (30 kWh) Mid-size 80 kW Automatic 1-Gear,Mid-size,80,A1,B,17.0,20.7,18.6,1.9,2.3,2.1,172,0,10,n/a,6,2016 Nissan LEAF (30 kWh) Mid-size 80 kW Automatic 1-Gear
25512,2016,smart,fortwo electric drive cabriolet Two-seater 35 kW Automatic 1-Gear,Two-seater,35,A1,B,17.2,22.5,19.6,1.9,2.5,2.2,109,0,10,n/a,8,2016 smart fortwo electric drive cabriolet Two-seater 35 kW Automatic 1-Gear
25513,2016,smart,fortwo electric drive coupe Two-seater 35 kW Automatic 1-Gear,Two-seater,35,A1,B,17.2,22.5,19.6,1.9,2.5,2.2,109,0,10,n/a,8,2016 smart fortwo electric drive coupe Two-seater 35 kW Automatic 1-Gear
25514,2016,Tesla,Model S (60 kWh pre- 6/16) Full-size 285 kW Automatic 1-Gear,Full-size,285,A1,B,22.2,21.7,21.9,2.5,2.4,2.5,335,0,10,n/a,10,2016 Tesla Model S (60 kWh pre- 6/16) Full-size 285 kW Automatic 1-Gear
25515,2016,Tesla,Model S (60 kWh) Full-size 285 kW Automatic 1-Gear,Full-size,285,A1,B,21.5,20.7,21.1,2.4,2.3,2.4,338,0,10,n/a,10,2016 Tesla Model S (60 kWh) Full-size 285 kW Automatic 1-Gear
25516,2016,Tesla,Model S (70 kWh) Full-size 285 kW Automatic 1-Gear,Full-size,285,A1,B,23.8,23.2,23.6,2.7,2.6,2.6,377,0,10,n/a,12,2016 Tesla Model S (70 kWh) Full-size 285 kW Automatic 1-Gear
25517,2016,Tesla,Model S (75 kWh) Full-size 285 kW Automatic 1-Gear,Full-size,285,A1,B,21.5,21.0,21.3,2.4,2.4,2.4,401,0,10,n/a,12,2016 Tesla Model S (75 kWh) Full-size 285 kW Automatic 1-Gear
25518,2016,Tesla,Model S (85/90 kWh) Full-size 285 kW Automatic 1-Gear,Full-size,285,A1,B,23.8,23.2,23.6,2.7,2.6,2.6,426,0,10,n/a,12,2016 Tesla Model S (85/90 kWh) Full-size 285 kW Automatic 1-Gear
25519,2016,Tesla,Model S 60D Full-size 386 kW Automatic 1-Gear,Full-size,386,A1,B,20.6,19.6,20.2,2.3,2.2,2.3,351,0,10,n/a,10,2016 Tesla Model S 60D Full-size 386 kW Automatic 1-Gear
25520,2016,Tesla,Model S 70D Full-size 386 kW Automatic 1-Gear,Full-size,386,A1,B,20.8,20.6,20.7,2.3,2.3,2.3,386,0,10,n/a,12,2016 Tesla Model S 70D Full-size 386 kW Automatic 1-Gear
25521,2016,Tesla,Model S 75D Full-size 386 kW Automatic 1-Gear,Full-size,386,A1,B,20.6,19.9,20.3,2.3,2.2,2.3,417,0,10,n/a,12,2016 Tesla Model S 75D Full-size 386 kW Automatic 1-Gear
25522,2016,Tesla,Model S 85D/90D Full-size 386 kW Automatic 1-Gear,Full-size,386,A1,B,22.0,19.8,21.0,2.5,2.2,2.4,435,0,10,n/a,12,2016 Tesla Model S 85D/90D Full-size 386 kW Automatic 1-Gear
25523,2016,Tesla,Model S 90D (Refresh) Full-size 386 kW Automatic 1-Gear,Full-size,386,A1,B,20.8,19.7,20.3,2.3,2.2,2.3,473,0,10,n/a,12,2016 Tesla Model S 90D (Refresh) Full-size 386 kW Automatic 1-Gear
25524,2016,Tesla,Model S P85D/P90D Full-size 568 kW Automatic 1-Gear,Full-size,568,A1,B,23.4,21.5,22.5,2.6,2.4,2.5,407,0,10,n/a,12,2016 Tesla Model S P85D/P90D Full-size 568 kW Automatic 1-Gear
25525,2016,Tesla,Model S P90D (Refresh) Full-size 568 kW Automatic 1-Gear,Full-size,568,A1,B,22.9,21.0,22.1,2.6,2.4,2.5,435,0,10,n/a,12,2016 Tesla Model S P90D (Refresh) Full-size 568 kW Automatic 1-Gear
25526,2016,Tesla,Model S P100D Full-size 568 kW Automatic 1-Gear,Full-size,568,A1,B,22.6,20.0,21.5,2.5,2.3,2.4,507,0,10,n/a,12,2016 Tesla Model S P100D Full-size 568 kW Automatic 1-Gear
25527,2016,Tesla,Model X 60D Sport utility vehicle: Standard 386 kW Automatic 1-Gear,Sport utility vehicle: Standard,386,A1,B,23.0,22.2,22.6,2.6,2.5,2.5,322,0,10,n/a,10,2016 Tesla Model X 60D Sport utility vehicle: Standard 386 kW Automatic 1-Gear
25528,2016,Tesla,Model X 75D Sport utility vehicle: Standard 386 kW Automatic 1-Gear,Sport utility vehicle: Standard,386,A1,B,23.0,21.9,22.5,2.6,2.5,2.5,383,0,10,n/a,12,2016 Tesla Model X 75D Sport utility vehicle: Standard 386 kW Automatic 1-Gear
25529,2016,Tesla,Model X 90D Sport utility vehicle: Standard 386 kW Automatic 1-Gear,Sport utility vehicle: Standard,386,A1,B,23.2,22.2,22.7,2.6,2.5,2.6,414,0,10,n/a,12,2016 Tesla Model X 90D Sport utility vehicle: Standard 386 kW Automatic 1-Gear
25530,2016,Tesla,Model X P90D Sport utility vehicle: Standard 568 kW Automatic 1-Gear,Sport utility vehicle: Standard,568,A1,B,23.6,23.3,23.5,2.7,2.6,2.6,402,0,10,n/a,12,2016 Tesla Model X P90D Sport utility vehicle: Standard 568 kW Automatic 1-Gear
25531,2016,Tesla,Model X P100D Sport utility vehicle: Standard 568 kW Automatic 1-Gear,Sport utility vehicle: Standard,568,A1,B,25.7,22.9,24.4,2.9,2.6,2.7,465,0,10,n/a,12,2016 Tesla Model X P100D Sport utility vehicle: Standard 568 kW Automatic 1-Gear
25532,2017,BMW,i3 (60 Ah) Subcompact 125 kW Automatic 1-Gear,Subcompact,125,A1,B,15.2,18.8,16.8,1.7,2.1,1.9,130,0,10,10,4,2017 BMW i3 (60 Ah) Subcompact 125 kW Automatic 1-Gear
25533,2017,BMW,i3 (94 Ah) Subcompact 125 kW Automatic 1-Gear,Subcompact,125,A1,B,16.2,19.7,17.8,1.8,2.2,2.0,183,0,10,10,5,2017 BMW i3 (94 Ah) Subcompact 125 kW Automatic 1-Gear
25534,2017,Chevrolet,Bolt EV Station wagon: Small 150 kW Automatic 1-Gear,Station wagon: Small,150,A1,B,16.4,19.0,17.6,1.8,2.1,2.0,383,0,10,10,9.3,2017 Chevrolet Bolt EV Station wagon: Small 150 kW Automatic 1-Gear
25535,2017,Ford,Focus Electric Compact 107 kW Automatic 1-Gear,Compact,107,A1,B,17.7,21.8,19.6,2.0,2.5,2.2,185,0,10,10,5.5,2017 Ford Focus Electric Compact 107 kW Automatic 1-Gear
25536,2017,Hyundai,IONIQ Electric Mid-size 88 kW Automatic 1-Gear,Mid-size,88,A1,B,13.7,17.4,15.5,1.6,1.9,1.7,200,0,10,10,4,2017 Hyundai IONIQ Electric Mid-size 88 kW Automatic 1-Gear
25537,2017,Kia,Soul EV Station wagon: Small 81 kW Automatic 1-Gear,Station wagon: Small,81,A1,B,17.4,23.0,19.9,2.0,2.6,2.2,150,0,10,10,4,2017 Kia Soul EV Station wagon: Small 81 kW Automatic 1-Gear
25538,2017,Mitsubishi,i-MiEV Subcompact 49 kW Automatic 1-Gear,Subcompact,49,A1,B,16.9,20.5,18.7,1.9,2.3,2.1,100,0,10,10,7,2017 Mitsubishi i-MiEV Subcompact 49 kW Automatic 1-Gear
25539,2017,Nissan,LEAF Mid-size 80 kW Automatic 1-Gear,Mid-size,80,A1,B,17.0,20.7,18.6,1.9,2.3,2.1,172,0,10,10,6,2017 Nissan LEAF Mid-size 80 kW Automatic 1-Gear
25540,2017,Tesla,Model S (60 kWh) Full-size 285 kW Automatic 1-Gear,Full-size,285,A1,B,21.5,20.7,21.1,2.4,2.3,2.4,338,0,10,10,10,2017 Tesla Model S (60 kWh) Full-size 285 kW Automatic 1-Gear
25541,2017,Tesla,Model S (75 kWh) Full-size 285 kW Automatic 1-Gear,Full-size,285,A1,B,21.5,21.0,21.3,2.4,2.4,2.4,401,0,10,10,12,2017 Tesla Model S (75 kWh) Full-size 285 kW Automatic 1-Gear
25542,2017,Tesla,Model S 60D Full-size 386 kW Automatic 1-Gear,Full-size,386,A1,B,20.6,19.6,20.2,2.3,2.2,2.3,351,0,10,10,10,2017 Tesla Model S 60D Full-size 386 kW Automatic 1-Gear
25543,2017,Tesla,Model S 75D Full-size 386 kW Automatic 1-Gear,Full-size,386,A1,B,20.6,19.9,20.3,2.3,2.2,2.3,417,0,10,10,12,2017 Tesla Model S 75D Full-size 386 kW Automatic 1-Gear
25544,2017,Tesla,Model S 90D Full-size 386 kW Automatic 1-Gear,Full-size,386,A1,B,20.6,19.7,20.2,2.3,2.2,2.3,473,0,10,10,12,2017 Tesla Model S 90D Full-size 386 kW Automatic 1-Gear
25545,2017,Tesla,Model S 100D Full-size 386 kW Automatic 1-Gear,Full-size,386,A1,B,20.7,20.5,20.6,2.3,2.3,2.3,539,0,10,10,12,2017 Tesla Model S 100D Full-size 386 kW Automatic 1-Gear
25546,2017,Tesla,Model S P90D Full-size 568 kW Automatic 1-Gear,Full-size,568,A1,B,22.8,20.9,22.0,2.6,2.3,2.5,435,0,10,10,12,2017 Tesla Model S P90D Full-size 568 kW Automatic 1-Gear
25547,2017,Tesla,Model S P100D Full-size 568 kW Automatic 1-Gear,Full-size,568,A1,B,22.6,20.0,21.5,2.5,2.3,2.4,507,0,10,10,12,2017 Tesla Model S P100D Full-size 568 kW Automatic 1-Gear
25548,2017,Tesla,Model X 60D Sport utility vehicle: Standard 386 kW Automatic 1-Gear,Sport utility vehicle: Standard,386,A1,B,23.0,22.2,22.6,2.6,2.5,2.5,322,0,10,10,10,2017 Tesla Model X 60D Sport utility vehicle: Standard 386 kW Automatic 1-Gear
25549,2017,Tesla,Model X 75D Sport utility vehicle: Standard 386 kW Automatic 1-Gear,Sport utility vehicle: Standard,386,A1,B,23.0,21.9,22.5,2.6,2.5,2.5,383,0,10,10,12,2017 Tesla Model X 75D Sport utility vehicle: Standard 386 kW Automatic 1-Gear
25550,2017,Tesla,Model X 90D Sport utility vehicle: Standard 386 kW Automatic 1-Gear,Sport utility vehicle: Standard,386,A1,B,23.2,22.2,22.7,2.6,2.5,2.6,414,0,10,10,12,2017 Tesla Model X 90D Sport utility vehicle: Standard 386 kW Automatic 1-Gear
25551,2017,Tesla,Model X 100D Sport utility vehicle: Standard 386 kW Automatic 1-Gear,Sport utility vehicle: Standard,386,A1,B,24.3,23.7,24.0,2.7,2.7,2.7,475,0,10,10,12,2017 Tesla Model X 100D Sport utility vehicle: Standard 386 kW Automatic 1-Gear
25552,2017,Tesla,Model X P90D Sport utility vehicle: Standard 568 kW Automatic 1-Gear,Sport utility vehicle: Standard,568,A1,B,23.6,23.3,23.5,2.7,2.6,2.6,402,0,10,10,12,2017 Tesla Model X P90D Sport utility vehicle: Standard 568 kW Automatic 1-Gear
25553,2017,Tesla,Model X P100D Sport utility vehicle: Standard 568 kW Automatic 1-Gear,Sport utility vehicle: Standard,568,A1,B,25.7,22.9,24.4,2.9,2.6,2.7,465,0,10,10,12,2017 Tesla Model X P100D Sport utility vehicle: Standard 568 kW Automatic 1-Gear
25554,2017,Volkswagen,e-Golf Compact 100 kW Automatic 1-Gear,Compact,100,A1,B,16.8,18.6,17.4,1.9,2.1,2.0,201,0,10,10,5.3,2017 Volkswagen e-Golf Compact 100 kW Automatic 1-Gear
25555,2018,BMW,i3 Subcompact 125 kW Automatic 1-Gear,Subcompact,125,A1,B,16.2,19.7,17.8,1.8,2.2,2.0,183,0,10,10,5,2018 BMW i3 Subcompact 125 kW Automatic 1-Gear
25556,2018,BMW,i3s Subcompact 135 kW Automatic 1-Gear,Subcompact,135,A1,B,17.1,21.1,18.9,1.9,2.4,2.1,172,0,10,10,5,2018 BMW i3s Subcompact 135 kW Automatic 1-Gear
25557,2018,Chevrolet,Bolt EV Station wagon: Small 150 kW Automatic 1-Gear,Station wagon: Small,150,A1,B,16.4,19.0,17.6,1.8,2.1,2.0,383,0,10,10,9.3,2018 Chevrolet Bolt EV Station wagon: Small 150 kW Automatic 1-Gear
25558,2018,Ford,Focus Electric Compact 107 kW Automatic 1-Gear,Compact,107,A1,B,17.7,21.8,19.6,2.0,2.5,2.2,185,0,10,10,5.5,2018 Ford Focus Electric Compact 107 kW Automatic 1-Gear
25559,2018,Hyundai,IONIQ Electric Mid-size 88 kW Automatic 1-Gear,Mid-size,88,A1,B,13.7,17.4,15.5,1.6,1.9,1.7,200,0,10,10,4,2018 Hyundai IONIQ Electric Mid-size 88 kW Automatic 1-Gear
25560,2018,Kia,Soul EV Station wagon: Small 81 kW Automatic 1-Gear,Station wagon: Small,81,A1,B,16.8,22.4,19.3,1.9,2.5,2.2,179,0,10,10,5,2018 Kia Soul EV Station wagon: Small 81 kW Automatic 1-Gear
25561,2018,Nissan,LEAF Mid-size 110 kW Automatic 1-Gear,Mid-size,110,A1,B,16.9,21.1,18.8,1.9,2.4,2.1,242,0,10,10,8,2018 Nissan LEAF Mid-size 110 kW Automatic 1-Gear
25562,2018,smart,fortwo electric drive cabriolet Two-seater 60 kW Automatic 1-Gear,Two-seater,60,A1,B,18.7,23.1,20.7,2.1,2.6,2.3,92,0,10,10,3,2018 smart fortwo electric drive cabriolet Two-seater 60 kW Automatic 1-Gear
25563,2018,smart,fortwo electric drive coupe Two-seater 60 kW Automatic 1-Gear,Two-seater,60,A1,B,16.9,22.3,19.3,1.9,2.5,2.2,93,0,10,10,3,2018 smart fortwo electric drive coupe Two-seater 60 kW Automatic 1-Gear
25564,2018,Tesla,Model 3 Mid Range Mid-size 202 kW Automatic 1-Gear,Mid-size,202,A1,B,16.4,17.9,17.1,1.8,2.0,1.9,418,0,10,10,10,2018 Tesla Model 3 Mid Range Mid-size 202 kW Automatic 1-Gear
25565,2018,Tesla,Model 3 Long Range Mid-size 202 kW Automatic 1-Gear,Mid-size,202,A1,B,15.3,17.0,16.1,1.7,1.9,1.8,499,0,10,10,10,2018 Tesla Model 3 Long Range Mid-size 202 kW Automatic 1-Gear
25566,2018,Tesla,Model 3 Long Range AWD Mid-size 335 kW Automatic 1-Gear,Mid-size,335,A1,B,17.4,18.7,18.0,2.0,2.1,2.0,499,0,10,10,10,2018 Tesla Model 3 Long Range AWD Mid-size 335 kW Automatic 1-Gear
25567,2018,Tesla,Model 3 Long Range AWD Performance Mid-size 358 kW Automatic 1-Gear,Mid-size,358,A1,B,17.4,18.7,18.0,2.0,2.1,2.0,499,0,10,10,10,2018 Tesla Model 3 Long Range AWD Performance Mid-size 358 kW Automatic 1-Gear
25568,2018,Tesla,Model S (75 kWh) Full-size 285 kW Automatic 1-Gear,Full-size,285,A1,B,21.5,21.0,21.3,2.4,2.4,2.4,401,0,10,10,12,2018 Tesla Model S (75 kWh) Full-size 285 kW Automatic 1-Gear
25569,2018,Tesla,Model S 75D Full-size 386 kW Automatic 1-Gear,Full-size,386,A1,B,20.6,19.9,20.3,2.3,2.2,2.3,417,0,10,10,12,2018 Tesla Model S 75D Full-size 386 kW Automatic 1-Gear
25570,2018,Tesla,Model S 100D Full-size 386 kW Automatic 1-Gear,Full-size,386,A1,B,20.7,20.5,20.6,2.3,2.3,2.3,539,0,10,10,12,2018 Tesla Model S 100D Full-size 386 kW Automatic 1-Gear
25571,2018,Tesla,Model S P100D Full-size 568 kW Automatic 1-Gear,Full-size,568,A1,B,22.6,20.0,21.5,2.5,2.3,2.4,507,0,10,10,12,2018 Tesla Model S P100D Full-size 568 kW Automatic 1-Gear
25572,2018,Tesla,Model X 75D Sport utility vehicle: Standard 386 kW Automatic 1-Gear,Sport utility vehicle: Standard,386,A1,B,23.0,21.9,22.5,2.6,2.5,2.5,383,0,10,10,12,2018 Tesla Model X 75D Sport utility vehicle: Standard 386 kW Automatic 1-Gear
25573,2018,Tesla,Model X 100D Sport utility vehicle: Standard 386 kW Automatic 1-Gear,Sport utility vehicle: Standard,386,A1,B,24.3,23.7,24.0,2.7,2.7,2.7,475,0,10,10,12,2018 Tesla Model X 100D Sport utility vehicle: Standard 386 kW Automatic 1-Gear
25574,2018,Tesla,Model X P100D Sport utility vehicle: Standard 568 kW Automatic 1-Gear,Sport utility vehicle: Standard,568,A1,B,25.4,23.6,24.6,2.8,2.7,2.8,465,0,10,10,12,2018 Tesla Model X P100D Sport utility vehicle: Standard 568 kW Automatic 1-Gear
25575,2018,Volkswagen,e-Golf Compact 100 kW Automatic 1-Gear,Compact,100,A1,B,16.8,18.6,17.4,1.9,2.1,2.0,201,0,10,10,5.3,2018 Volkswagen e-Golf Compact 100 kW Automatic 1-Gear
25576,2019,Audi,e-tron 55 quattro Sport utility vehicle: Standard 300 kW Automatic 1-Gear,Sport utility vehicle: Standard,300,A1,B,28.0,28.5,28.3,3.2,3.2,3.2,329,0,10,10,10,2019 Audi e-tron 55 quattro Sport utility vehicle: Standard 300 kW Automatic 1-Gear
25577,2019,BMW,i3 (120 Ah) Subcompact 125 kW Automatic 1-Gear,Subcompact,125,A1,B,16.8,20.6,18.5,1.9,2.3,2.1,246,0,10,10,7,2019 BMW i3 (120 Ah) Subcompact 125 kW Automatic 1-Gear
25578,2019,BMW,i3s (120 Ah) Subcompact 135 kW Automatic 1-Gear,Subcompact,135,A1,B,16.8,20.6,18.5,1.9,2.3,2.1,246,0,10,10,7,2019 BMW i3s (120 Ah) Subcompact 135 kW Automatic 1-Gear
