_id,model_year,make,model,vehicle_class,motor_(kw),engine_size_(l),cylinders,transmission,fuel_type_1,combined_le/100_km,range_1_(km),recharge_time_(h),fuel_type_2,city_(l/100_km),highway_(l/100_km),combined_(l/100_km),range_2_(km),co2_emissions_(g/km),co2_rating,smog_rating,display_name
3185,2014,Toyota,Prius Plug-in Hybrid Mid-size 1.8L + 60 kW 4 Cyl Automatic,Mid-size,60,1.8,4,AV,B/X,2.5 ([18.0 kWh + 0.4 L]/100 km),18,1.5,X,4.7,4.8,4.7,845,101,n/a,n/a,2014 Toyota Prius Plug-in Hybrid Mid-size 1.8L + 60 kW 4 Cyl Automatic
3186,2015,BMW,i3 REx Subcompact 0.6L + 125 kW 2 Cyl Automatic 1-Gear,Subcompact,125,0.6,2,A1,B,2.0 (17.9 kWh/100 km),116,4,Z,5.7,6.3,6.0,119,22,n/a,n/a,2015 BMW i3 REx Subcompact 0.6L + 125 kW 2 Cyl Automatic 1-Gear
3187,2015,BMW,i8 Subcompact 1.5L + 96 kW 3 Cyl Automatic 6-Gear,Subcompact,96,1.5,3,A6,B/Z,3.1 ([26.9 kWh + 0.2 L]/100 km),24,2,Z,8.4,8.1,8.3,509,123,n/a,n/a,2015 BMW i8 Subcompact 1.5L + 96 kW 3 Cyl Automatic 6-Gear
3188,2015,Chevrolet,Volt Compact 1.4L + 111 kW 4 Cyl Automatic,Compact,111,1.4,4,AV,B,2.4 (21.4 kWh/100 km),61,4,Z,6.7,5.9,6.4,547,50,n/a,n/a,2015 Chevrolet Volt Compact 1.4L + 111 kW 4 Cyl Automatic
3189,2015,Ford,C-MAX Energi Mid-size 2.0L + 35 kW 4 Cyl Automatic,Mid-size,35,2.0,4,AV,B/X,2.7 ([23.2 kWh + 0.1 L]/100 km),32,2.5,X,5.8,6.5,6.1,856,80,n/a,n/a,2015 Ford C-MAX Energi Mid-size 2.0L + 35 kW 4 Cyl Automatic
3190,2015,Ford,Fusion Energi Mid-size 2.0L + 35 kW 4 Cyl Automatic,Mid-size,35,2.0,4,AV,B/X,2.7 ([23.2 kWh + 0.1 L]/100 km),32,2.5,X,5.8,6.5,6.1,856,80,n/a,n/a,2015 Ford Fusion Energi Mid-size 2.0L + 35 kW 4 Cyl Automatic
3191,2015,Porsche,918 Spyder Two-seater 4.6L + 157 kW 8 Cyl Automatic 7-Gear,Two-seater,157,4.6,8,A7,B,3.4 (30.7 kWh/100 km),21,3,Z,11.5,10.0,10.9,649,172,n/a,n/a,2015 Porsche 918 Spyder Two-seater 4.6L + 157 kW 8 Cyl Automatic 7-Gear
3192,2015,Porsche,Cayenne S E-Hybrid Sport utility vehicle: Standard 3.0L + 71 kW 6 Cyl Automatic 8-Gear,Sport utility vehicle: Standard,71,3.0,6,A8,B,5.0 (43.2 kWh/100 km),24,3,Z,11.3,9.8,10.6,758,162,n/a,n/a,2015 Porsche Cayenne S E-Hybrid Sport utility vehicle: Standard 3.0L + 71 kW 6 Cyl Automatic 8-Gear
3193,2015,Porsche,Panamera S E-Hybrid Full-size 3.0L + 71 kW 6 Cyl Automatic 8-Gear,Full-size,71,3.0,6,A8,B/Z,4.6 ([31.7 kWh + 1.0 L]/100 km),26,3,Z,10.4,8.0,9.3,871,142,n/a,n/a,2015 Porsche Panamera S E-Hybrid Full-size 3.0L + 71 kW 6 Cyl Automatic 8-Gear
3194,2015,Toyota,Prius Plug-in Hybrid Mid-size 1.8L + 60 kW 4 Cyl Automatic,Mid-size,60,1.8,4,AV,B/X,2.5 ([18.0 kWh + 0.4 L]/100 km),18,1.5,X,4.7,4.8,4.7,845,101,n/a,n/a,2015 Toyota Prius Plug-in Hybrid Mid-size 1.8L + 60 kW 4 Cyl Automatic
3195,2016,Audi,A3 e-tron Compact 1.4L + 80 kW 4 Cyl Automatic 6-Gear,Compact,80,1.4,4,A6,B/Z*,2.8 ([25.2 kWh + 0.0 L]/100 km),26,2.5,Z,7.1,6.4,6.8,591,98,10,n/a,2016 Audi A3 e-tron Compact 1.4L + 80 kW 4 Cyl Automatic 6-Gear
3196,2016,Audi,A3 e-tron ultra Compact 1.4L + 80 kW 4 Cyl Automatic 6-Gear,Compact,80,1.4,4,A6,B/Z*,2.7 ([23.9 kWh + 0.0 L]/100 km),27,2.5,Z,6.4,5.7,6.1,663,85,10,n/a,2016 Audi A3 e-tron ultra Compact 1.4L + 80 kW 4 Cyl Automatic 6-Gear
3197,2016,BMW,330e Compact 2.0L + 65 kW 4 Cyl Automatic 8-Gear,Compact,65,2.0,4,AS8,B/Z*,3.3 ([29.1 kWh + 0.0 L]/100 km),23,2,Z,8.4,6.3,7.4,562,113,10,n/a,2016 BMW 330e Compact 2.0L + 65 kW 4 Cyl Automatic 8-Gear
3198,2016,BMW,i3 REx Subcompact 0.6L + 125 kW 2 Cyl Automatic 1-Gear,Subcompact,125,0.6,2,A1,B,2.0 (17.9 kWh/100 km),116,4,Z,5.7,6.3,6.0,119,22,10,n/a,2016 BMW i3 REx Subcompact 0.6L + 125 kW 2 Cyl Automatic 1-Gear
3199,2016,BMW,i8 Subcompact 1.5L + 96 kW 3 Cyl Automatic 6-Gear,Subcompact,96,1.5,3,A6,B/Z,3.1 ([26.9 kWh + 0.2 L]/100 km),24,2,Z,8.4,8.1,8.3,509,123,9,n/a,2016 BMW i8 Subcompact 1.5L + 96 kW 3 Cyl Automatic 6-Gear
3200,2016,BMW,X5 xDrive40e Sport utility vehicle: Standard 2.0L + 83 kW 4 Cyl Automatic 8-Gear,Sport utility vehicle: Standard,83,2.0,4,AS8,B/Z*,4.2 ([36.8 kWh + 0.0 L]/100 km),23,3,Z,10.2,9.5,9.9,842,153,8,n/a,2016 BMW X5 xDrive40e Sport utility vehicle: Standard 2.0L + 83 kW 4 Cyl Automatic 8-Gear
3201,2016,Cadillac,ELR Subcompact 1.4L + 174 kW 4 Cyl Automatic,Subcompact,174,1.4,4,AV,B,2.7 (24.4 kWh/100 km),64,5,Z,7.6,7.1,7.4,480,57,10,n/a,2016 Cadillac ELR Subcompact 1.4L + 174 kW 4 Cyl Automatic
3202,2016,Cadillac,ELR (Performance Pkg) Subcompact 1.4L + 174 kW 4 Cyl Automatic,Subcompact,174,1.4,4,AV,B,2.9 (26.2 kWh/100 km),58,5,Z,8.4,7.1,7.8,457,65,10,n/a,2016 Cadillac ELR (Performance Pkg) Subcompact 1.4L + 174 kW 4 Cyl Automatic
3203,2016,Chevrolet,Volt Compact 1.5L + 111 kW 4 Cyl Automatic,Compact,111,1.5,4,AV,B,2.2 (19.9 kWh/100 km),85,4.5,X,5.5,5.6,5.6,591,32,10,n/a,2016 Chevrolet Volt Compact 1.5L + 111 kW 4 Cyl Automatic
3204,2016,Ford,C-MAX Energi Mid-size 2.0L + 35 kW 4 Cyl Automatic,Mid-size,35,2.0,4,AV,B/X,2.7 ([23.2 kWh + 0.1 L]/100 km),32,2.5,X,5.8,6.5,6.1,856,80,10,n/a,2016 Ford C-MAX Energi Mid-size 2.0L + 35 kW 4 Cyl Automatic
3205,2016,Ford,Fusion Energi Mid-size 2.0L + 35 kW 4 Cyl Automatic,Mid-size,35,2.0,4,AV,B/X,2.7 ([23.2 kWh + 0.1 L]/100 km),32,2.5,X,5.8,6.5,6.1,856,80,10,n/a,2016 Ford Fusion Energi Mid-size 2.0L + 35 kW 4 Cyl Automatic
3206,2016,Hyundai,Sonata Plug-in Hybrid Mid-size 2.0L + 50 kW 4 Cyl Auto-Manual 6-Gear,Mid-size,50,2.0,4,AM6,B/X*,2.4 ([21.1 kWh + 0.0 L]/100 km),43,2.7,X,6.1,5.7,5.9,925,63,10,n/a,2016 Hyundai Sonata Plug-in Hybrid Mid-size 2.0L + 50 kW 4 Cyl Auto-Manual 6-Gear
3207,2016,Mercedes-Benz,S 550e Full-size 3.0L + 85 kW 6 Cyl Automatic 7-Gear,Full-size,85,3.0,6,AS7,B/Z*,4.1 ([36.7 kWh + 0.0 L]/100 km),23,2.75,Z,10.0,7.8,9.0,695,141,9,n/a,2016 Mercedes-Benz S 550e Full-size 3.0L + 85 kW 6 Cyl Automatic 7-Gear
3208,2016,Porsche,Cayenne S E-Hybrid Sport utility vehicle: Standard 3.0L + 71 kW 6 Cyl Automatic 8-Gear,Sport utility vehicle: Standard,71,3.0,6,A8,B,5.0 (43.2 kWh/100 km),24,3,Z,11.3,9.8,10.6,758,162,8,n/a,2016 Porsche Cayenne S E-Hybrid Sport utility vehicle: Standard 3.0L + 71 kW 6 Cyl Automatic 8-Gear
3209,2016,Porsche,Panamera S E-Hybrid Full-size 3.0L + 71 kW 6 Cyl Automatic 8-Gear,Full-size,71,3.0,6,A8,B/Z,4.6 ([31.7 kWh + 1.0 L]/100 km),26,3,Z,10.4,8.0,9.3,871,142,9,n/a,2016 Porsche Panamera S E-Hybrid Full-size 3.0L + 71 kW 6 Cyl Automatic 8-Gear
3210,2016,Volvo,XC90 T8 AWD Sport utility vehicle: Standard 2.0L + 65 kW 4 Cyl Automatic 8-Gear,Sport utility vehicle: Standard,65,2.0,4,AS8,B/Z*,4.6 ([40.4 kWh + 0.0 L]/100 km),21,3,Z,10.1,8.8,9.5,529,150,8,n/a,2016 Volvo XC90 T8 AWD Sport utility vehicle: Standard 2.0L + 65 kW 4 Cyl Automatic 8-Gear
3211,2017,Audi,A3 e-tron Compact 1.4L + 80 kW 4 Cyl Automatic 6-Gear,Compact,80,1.4,4,A6,B/Z*,2.8 ([25.5 kWh + 0.0 L]/100 km),26,2.5,Z,7.2,6.6,6.9,579,98,10,8,2017 Audi A3 e-tron Compact 1.4L + 80 kW 4 Cyl Automatic 6-Gear
3212,2017,BMW,330e Compact 2.0L + 65 kW 4 Cyl Automatic 8-Gear,Compact,65,2.0,4,AS8,B/Z*,3.3 ([29.5 kWh + 0.0 L]/100 km),23,2,Z,8.5,6.9,7.8,533,118,10,6,2017 BMW 330e Compact 2.0L + 65 kW 4 Cyl Automatic 8-Gear
3213,2017,BMW,740e xDrive Full-size 2.0L + 83 kW 4 Cyl Automatic 8-Gear,Full-size,83,2.0,4,AS8,B/Z*,3.6 ([32.1 kWh + 0.0 L]/100 km),23,3,Z,9.5,8.0,8.8,525,133,9,6,2017 BMW 740e xDrive Full-size 2.0L + 83 kW 4 Cyl Automatic 8-Gear
3214,2017,BMW,i3 REx (94 Ah) Subcompact 0.6L + 125 kW 2 Cyl Automatic 1-Gear,Subcompact,125,0.6,2,A1,B,2.1 (18.9 kWh/100 km),156,5,Z,6.5,7.0,6.7,129,18,10,8,2017 BMW i3 REx (94 Ah) Subcompact 0.6L + 125 kW 2 Cyl Automatic 1-Gear
3215,2017,BMW,i8 Subcompact 1.5L + 96 kW 3 Cyl Automatic 6-Gear,Subcompact,96,1.5,3,A6,B/Z,3.1 ([26.9 kWh + 0.2 L]/100 km),24,2,Z,8.4,8.1,8.3,509,123,10,6,2017 BMW i8 Subcompact 1.5L + 96 kW 3 Cyl Automatic 6-Gear
3216,2017,BMW,X5 xDrive40e Sport utility vehicle: Standard 2.0L + 83 kW 4 Cyl Automatic 8-Gear,Sport utility vehicle: Standard,83,2.0,4,AS8,B/Z*,4.2 ([36.8 kWh + 0.0 L]/100 km),23,3,Z,10.2,9.5,9.9,840,154,8,6,2017 BMW X5 xDrive40e Sport utility vehicle: Standard 2.0L + 83 kW 4 Cyl Automatic 8-Gear
3217,2017,Cadillac,CT6 Plug-in Hybrid Mid-size 2.0L + 178 kW 4 Cyl Automatic,Mid-size,178,2.0,4,AV,B/Z*,3.8 ([33.7 kWh + 0.0 L]/100 km),50,4.5,Z,10.1,8.1,9.2,658,89,10,6,2017 Cadillac CT6 Plug-in Hybrid Mid-size 2.0L + 178 kW 4 Cyl Automatic
3218,2017,Chevrolet,Volt Compact 1.5L + 111 kW 4 Cyl Automatic,Compact,111,1.5,4,AV,B,2.2 (19.9 kWh/100 km),85,4.5,X,5.5,5.6,5.6,591,32,10,6,2017 Chevrolet Volt Compact 1.5L + 111 kW 4 Cyl Automatic
3219,2017,Chrysler,Pacifica Hybrid Minivan 3.6L + 89 kW 6 Cyl Automatic,Minivan,89,3.6,6,AV,B/X*,2.8 ([24.9 kWh + 0.0 L]/100 km),53,2,X,7.3,7.2,7.3,858,66,10,8,2017 Chrysler Pacifica Hybrid Minivan 3.6L + 89 kW 6 Cyl Automatic
3220,2017,Ford,C-MAX Energi Mid-size 2.0L + 35 kW 4 Cyl Automatic,Mid-size,35,2.0,4,AV,B/X*,2.5 ([22.0 kWh + 0.0 L]/100 km),33,2.5,X,5.8,6.2,6.0,884,76,10,8,2017 Ford C-MAX Energi Mid-size 2.0L + 35 kW 4 Cyl Automatic
3221,2017,Ford,Fusion Energi Mid-size 2.0L + 35 kW 4 Cyl Automatic,Mid-size,35,2.0,4,AV,B/X*,2.4 ([21.5 kWh + 0.0 L]/100 km),35,2.5,X,5.5,5.7,5.6,947,70,10,8,2017 Ford Fusion Energi Mid-size 2.0L + 35 kW 4 Cyl Automatic
3222,2017,Hyundai,Sonata Plug-in Hybrid Mid-size 2.0L + 50 kW 4 Cyl Auto-Manual 6-Gear,Mid-size,50,2.0,4,AM6,B/X*,2.4 ([21.1 kWh + 0.0 L]/100 km),43,2.7,X,6.2,5.9,6.1,901,65,10,8,2017 Hyundai Sonata Plug-in Hybrid Mid-size 2.0L + 50 kW 4 Cyl Auto-Manual 6-Gear
3223,2017,Karma,Revero Subcompact 2.0L + 300 kW 4 Cyl Automatic 1-Gear,Subcompact,300,2.0,4,A1,B,4.6 (41.0 kWh/100 km),51,3.75,Z,13.0,12.0,12.5,303,114,10,5,2017 Karma Revero Subcompact 2.0L + 300 kW 4 Cyl Automatic 1-Gear
3224,2017,Kia,Optima Plug-in Hybrid Mid-size 2.0L + 50 kW 4 Cyl Auto-Manual 6-Gear,Mid-size,50,2.0,4,AM6,B/X*,2.3 ([20.3 kWh + 0.0 L]/100 km),47,2.7,X,6.2,5.5,5.9,935,60,10,8,2017 Kia Optima Plug-in Hybrid Mid-size 2.0L + 50 kW 4 Cyl Auto-Manual 6-Gear
3225,2017,Mercedes-Benz,GLE 550e 4MATIC Sport utility vehicle: Standard 3.0L + 85 kW 6 Cyl Automatic 7-Gear,Sport utility vehicle: Standard,85,3.0,6,AS7,B/Z,5.5 ([42.7 kWh + 0.8 L]/100 km),19,1.9,Z,11.8,10.3,11.1,719,184,7,6,2017 Mercedes-Benz GLE 550e 4MATIC Sport utility vehicle: Standard 3.0L + 85 kW 6 Cyl Automatic 7-Gear
3226,2017,Mercedes-Benz,S 550e Full-size 3.0L + 85 kW 6 Cyl Automatic 7-Gear,Full-size,85,3.0,6,AS7,B/Z*,4.1 ([36.7 kWh + 0.0 L]/100 km),23,2.75,Z,10.0,7.9,9.1,702,142,9,6,2017 Mercedes-Benz S 550e Full-size 3.0L + 85 kW 6 Cyl Automatic 7-Gear
3227,2017,Porsche,Cayenne S E-Hybrid Sport utility vehicle: Standard 3.0L + 71 kW 6 Cyl Automatic 8-Gear,Sport utility vehicle: Standard,71,3.0,6,A8,B,5.1 (44.2 kWh/100 km),23,3,Z,11.3,9.8,10.6,768,160,8,6,2017 Porsche Cayenne S E-Hybrid Sport utility vehicle: Standard 3.0L + 71 kW 6 Cyl Automatic 8-Gear
3228,2017,Toyota,Prius Prime Mid-size 1.8L + 71 kW 4 Cyl Automatic,Mid-size,71,1.8,4,AV,B/X*,1.8 ([15.8 kWh + 0.0 L]/100 km),40,2,X,4.3,4.4,4.3,995,49,10,8,2017 Toyota Prius Prime Mid-size 1.8L + 71 kW 4 Cyl Automatic
3229,2017,Volvo,XC90 T8 AWD Sport utility vehicle: Standard 2.0L + 65 kW 4 Cyl Automatic 8-Gear,Sport utility vehicle: Standard,65,2.0,4,AS8,B/Z*,4.8 ([47.3 kWh + 0.0 L]/100 km),21,3,Z,10.0,8.8,9.5,529,148,8,8,2017 Volvo XC90 T8 AWD Sport utility vehicle: Standard 2.0L + 65 kW 4 Cyl Automatic 8-Gear
3230,2018,Audi,A3 e-tron Compact 1.4L + 80 kW 4 Cyl Auto-Manual 6-Gear,Compact,80,1.4,4,AM6,B/Z*,2.8 ([25.2 kWh + 0.0 L]/100 km),26,2,Z,6.8,6.0,6.5,623,93,10,7,2018 Audi A3 e-tron Compact 1.4L + 80 kW 4 Cyl Auto-Manual 6-Gear
3231,2018,BMW,330e Compact 2.0L + 65 kW 4 Cyl Automatic 8-Gear,Compact,65,2.0,4,AS8,B/Z*,3.3 ([29.5 kWh + 0.0 L]/100 km),23,2,Z,8.5,6.9,7.8,533,118,10,3,2018 BMW 330e Compact 2.0L + 65 kW 4 Cyl Automatic 8-Gear
3232,2018,BMW,530e Compact 2.0L + 83 kW 4 Cyl Automatic 8-Gear,Compact,83,2.0,4,AS8,B/Z*,3.3 ([28.5 kWh + 0.0 L]/100 km),26,2,Z,8.6,7.7,8.2,560,120,10,7,2018 BMW 530e Compact 2.0L + 83 kW 4 Cyl Automatic 8-Gear
3233,2018,BMW,530e xDrive Compact 2.0L + 83 kW 4 Cyl Automatic 8-Gear,Compact,83,2.0,4,AS8,B/Z*,3.5 ([30.2 kWh + 0.0 L]/100 km),24,2,Z,8.8,7.7,8.3,554,124,10,7,2018 BMW 530e xDrive Compact 2.0L + 83 kW 4 Cyl Automatic 8-Gear
3234,2018,BMW,740e xDrive Full-size 2.0L + 83 kW 4 Cyl Automatic 8-Gear,Full-size,83,2.0,4,AS8,B/Z*,3.6 ([32.1 kWh + 0.0 L]/100 km),23,3,Z,9.5,8.0,8.8,525,133,9,3,2018 BMW 740e xDrive Full-size 2.0L + 83 kW 4 Cyl Automatic 8-Gear
3235,2018,BMW,i3 REx Subcompact 0.6L + 125 kW 2 Cyl Automatic 1-Gear,Subcompact,125,0.6,2,A1,B,2.2 (19.1 kWh/100 km),156,5,Z,6.6,7.1,6.8,129,18,10,7,2018 BMW i3 REx Subcompact 0.6L + 125 kW 2 Cyl Automatic 1-Gear
3236,2018,BMW,i3s REx Subcompact 0.6L + 135 kW 2 Cyl Automatic 1-Gear,Subcompact,135,0.6,2,A1,B,2.2 (19.1 kWh/100 km),156,5,Z,6.6,7.1,6.8,129,18,10,7,2018 BMW i3s REx Subcompact 0.6L + 135 kW 2 Cyl Automatic 1-Gear
3237,2018,BMW,X5 xDrive40e Sport utility vehicle: Standard 2.0L + 83 kW 4 Cyl Automatic 8-Gear,Sport utility vehicle: Standard,83,2.0,4,AS8,B/Z*,4.2 ([36.9 kWh + 0.0 L]/100 km),23,3,Z,10.2,9.5,9.9,842,154,8,3,2018 BMW X5 xDrive40e Sport utility vehicle: Standard 2.0L + 83 kW 4 Cyl Automatic 8-Gear
3238,2018,Cadillac,CT6 Plug-in Hybrid Mid-size 2.0L + 178 kW 4 Cyl Automatic,Mid-size,178,2.0,4,AV,B/Z*,3.8 ([33.7 kWh + 0.0 L]/100 km),50,4.5,Z,10.2,8.1,9.2,642,89,10,3,2018 Cadillac CT6 Plug-in Hybrid Mid-size 2.0L + 178 kW 4 Cyl Automatic
3239,2018,Chevrolet,Volt Compact 1.5L + 111 kW 4 Cyl Automatic,Compact,111,1.5,4,AV,B,2.2 (19.9 kWh/100 km),85,4.5,X,5.5,5.6,5.6,591,32,10,3,2018 Chevrolet Volt Compact 1.5L + 111 kW 4 Cyl Automatic
3240,2018,Chrysler,Pacifica Hybrid Minivan 3.6L + 89 kW 6 Cyl Automatic,Minivan,89,3.6,6,AV,B/X*,2.8 ([24.9 kWh + 0.0 L]/100 km),53,2,X,7.3,7.2,7.3,858,66,10,7,2018 Chrysler Pacifica Hybrid Minivan 3.6L + 89 kW 6 Cyl Automatic
3241,2018,Ford,Fusion Energi Mid-size 2.0L + 35 kW 4 Cyl Automatic,Mid-size,35,2.0,4,AV,B/X*,2.4 ([21.5 kWh + 0.0 L]/100 km),35,2.5,X,5.5,5.7,5.6,947,70,10,7,2018 Ford Fusion Energi Mid-size 2.0L + 35 kW 4 Cyl Automatic
3242,2018,Honda,Clarity Plug-in Hybrid Mid-size 1.5L + 135 kW 4 Cyl Automatic,Mid-size,135,1.5,4,AV,B/X*,2.1 ([19.0 kWh + 0.0 L]/100 km),77,2.5,X,5.3,5.9,5.6,475,36,10,8,2018 Honda Clarity Plug-in Hybrid Mid-size 1.5L + 135 kW 4 Cyl Automatic
3243,2018,Hyundai,IONIQ Electric Plus Mid-size 1.6L + 45 kW 4 Cyl Auto-Manual 6-Gear,Mid-size,45,1.6,4,AM6,B/X*,2.0 ([17.7 kWh + 0.0 L]/100 km),47,2.3,X,4.4,4.6,4.5,961,46,10,7,2018 Hyundai IONIQ Electric Plus Mid-size 1.6L + 45 kW 4 Cyl Auto-Manual 6-Gear
3244,2018,Karma,Revero Subcompact 2.0L + 300 kW 4 Cyl Automatic 1-Gear,Subcompact,300,2.0,4,A1,B,3.9 (34.7 kWh/100 km),60,3.75,Z,11.8,11.2,11.5,328,94,10,1,2018 Karma Revero Subcompact 2.0L + 300 kW 4 Cyl Automatic 1-Gear
3245,2018,Kia,Optima Plug-in Hybrid Mid-size 2.0L + 50 kW 4 Cyl Auto-Manual 6-Gear,Mid-size,50,2.0,4,AM6,B/X*,2.3 ([20.3 kWh + 0.0 L]/100 km),47,2.7,X,6.2,5.5,5.9,935,60,10,7,2018 Kia Optima Plug-in Hybrid Mid-size 2.0L + 50 kW 4 Cyl Auto-Manual 6-Gear
3246,2018,Mercedes-Benz,GLC 350e 4MATIC Sport utility vehicle: Small 2.0L + 85 kW 4 Cyl Automatic 7-Gear,Sport utility vehicle: Small,85,2.0,4,A7,B/Z*,4.2 ([36.5 kWh + 0.0 L]/100 km),21,1.9,Z,9.8,8.6,9.3,541,146,9,7,2018 Mercedes-Benz GLC 350e 4MATIC Sport utility vehicle: Small 2.0L + 85 kW 4 Cyl Automatic 7-Gear
3247,2018,Mercedes-Benz,GLE 550e 4MATIC Sport utility vehicle: Standard 3.0L + 85 kW 6 Cyl Automatic 7-Gear,Sport utility vehicle: Standard,85,3.0,6,AS7,B/Z,5.5 ([42.6 kWh + 0.8 L]/100 km),19,1.9,Z,11.8,10.3,11.1,719,184,7,6,2018 Mercedes-Benz GLE 550e 4MATIC Sport utility vehicle: Standard 3.0L + 85 kW 6 Cyl Automatic 7-Gear
3248,2018,MINI,Cooper SE Countryman ALL4 Mid-size 1.5L + 65 kW 3 Cyl Automatic 6-Gear,Mid-size,65,1.5,3,AS6,B/Z*,3.6 ([31.4 kWh + 0.0 L]/100 km),19,3,Z,8.4,8.8,8.6,420,139,9,3,2018 MINI Cooper SE Countryman ALL4 Mid-size 1.5L + 65 kW 3 Cyl Automatic 6-Gear
3249,2018,Mitsubishi,Outlander PHEV AWD Sport utility vehicle: Small 2.0L + 60 kW 4 Cyl Automatic 1-Gear,Sport utility vehicle: Small,60,2.0,4,A1,B/X*,3.2 ([27.7 kWh + 0.0 L]/100 km),35,3.5,X,9.4,9.0,9.2,463,108,10,7,2018 Mitsubishi Outlander PHEV AWD Sport utility vehicle: Small 2.0L + 60 kW 4 Cyl Automatic 1-Gear
3250,2018,Porsche,Cayenne S E-Hybrid Sport utility vehicle: Standard 3.0L + 71 kW 6 Cyl Auto-Manual 8-Gear,Sport utility vehicle: Standard,71,3.0,6,AM8,B,5.1 (44.2 kWh/100 km),23,3,Z,11.3,9.8,10.6,768,160,8,3,2018 Porsche Cayenne S E-Hybrid Sport utility vehicle: Standard 3.0L + 71 kW 6 Cyl Auto-Manual 8-Gear
3251,2018,Toyota,Prius Prime Mid-size 1.8L + 71 kW 4 Cyl Automatic,Mid-size,71,1.8,4,AV,B/X*,1.8 ([15.8 kWh + 0.0 L]/100 km),40,2,X,4.3,4.4,4.3,995,49,10,7,2018 Toyota Prius Prime Mid-size 1.8L + 71 kW 4 Cyl Automatic
3252,2018,Volvo,S90 T8 AWD Mid-size 2.0L + 65 kW 4 Cyl Automatic 8-Gear,Mid-size,65,2.0,4,AS8,B/Z*,3.2 ([27.7 kWh + 0.0 L]/100 km),34,3,Z,8.9,7.1,8.1,621,100,10,7,2018 Volvo S90 T8 AWD Mid-size 2.0L + 65 kW 4 Cyl Automatic 8-Gear
